s11a,s11m,s12a,s12m,s21a,s21m,s22a,s22m,wavelengths,freqs
-3.03991895788105,0.025649490794287216,-1.7202847656259155,0.9906384875621593,-1.7201724087635895,0.9906333220002065,-3.0326293185629987,0.02572973282371194,1.5,0.6666666666666666
-3.006037572820006,0.027606730347214857,-1.820412542492681,0.990545825084281,-1.8203014984822425,0.9905410195669461,-2.999806888045624,0.027713255999909935,1.5020408163265306,0.6657608695652174
-2.9895226728354105,0.029645024237625803,-1.9202329163804925,0.9904486219735549,-1.9201231713160483,0.9904439816149231,-2.98435320258385,0.0297718114839392,1.5040816326530613,0.6648575305291723
-2.9870554347707605,0.031682988018053415,-2.019747057239125,0.9903498120537256,-2.019638561193117,0.990345158825817,-2.9828946078416125,0.031824066155907486,1.506122448979592,0.6639566395663956
-2.9957576715927274,0.03365911724044275,-2.118956550728656,0.9902522737967822,-2.118849225417288,0.990247452448082,-2.992529912673833,0.033808662537072515,1.5081632653061225,0.6630581867388362
-3.0132867026708903,0.03552702892725546,-2.217863379818837,0.9901587719230172,-2.217757126436614,0.9901536532266987,-3.010909019635543,0.03567939094840705,1.510204081632653,0.6621621621621622
-3.0377878082054273,0.037251627168185926,-2.3164698981897582,0.9900719029978242,-2.316364604898128,0.9900663850985167,-3.0361763476764834,0.03740134994867916,1.5122448979591836,0.6612685560053981
-3.067806159098147,0.03880627583567129,-2.4147787959665354,0.9899940465480395,-2.4146743451070973,0.9899880548127583,-3.0668782910174457,0.038948136267082524,1.5142857142857142,0.6603773584905661
-3.102199367662212,0.04017078736919038,-2.512793059092547,0.9899273230983292,-2.5126893341659606,0.98992080835566,-3.1018737700707777,0.04029985427928798,1.5163265306122449,0.6594885598923285
-3.140063677477726,0.04133000780436273,-2.610515924150382,0.9898735599332448,-2.6104128161479316,0.9898664947412884,-3.140259657156475,0.04144171771532709,1.5183673469387755,0.6586021505376344
-3.1806755470203667,0.04227281976240043,-2.7079508304581537,0.9898342644981593,-2.707848242614225,0.9898266375023786,-3.1813121777404922,0.042363062739833285,1.5204081632653061,0.6577181208053691
-3.2234465927421105,0.04299143443253245,-2.8051013706882006,0.9898106048544902,-2.804999220757331,0.9898024139277349,-3.2244419224768333,0.043056642869911566,1.5224489795918368,0.6568364611260054
-3.267889039533539,0.04348088341335922,-2.901971240620279,0.9898033965694175,-2.9018694603168376,0.989794641967896,-3.2691594532837533,0.043518116965801885,1.5244897959183674,0.6559571619812583
-3.3135890384756554,0.04373864976231608,-2.998564188279403,0.9898130958492118,-2.9984627203060494,0.9898037746180757,-3.3150487818161127,0.043745670569547424,1.526530612244898,0.6550802139037433
-3.3601856822079963,0.04376439705993437,-3.094883962861493,0.989839799160071,-3.0947827565232715,0.989829901478594,-3.3617465121793058,0.0437397306808656,1.5285714285714287,0.6542056074766355
-3.4073539997109847,0.043559768486469856,-3.1909342642879035,0.9898832497245069,-3.190833270718442,0.9898727571798357,-3.408924914796407,0.04350274739984882,1.530612244897959,0.6533333333333333
-3.454791093495322,0.043128213756348725,-3.2867186970484936,0.9899428617053081,-3.2866178644830444,0.9899317466501164,-3.456278096484239,0.04303900178805001,1.5326530612244897,0.6524633821571239
-3.5022011371713515,0.04247497079110708,-3.3822407154778857,0.9900176970357445,-3.382139985439781,0.9900059243666754,-3.5035069535699117,0.04235456689006521,1.5346938775510204,0.6515957446808511
-3.5492860442519096,0.04160684731536381,-3.4775035966931234,0.9901065554818514,-3.4774028992315005,0.9900940832385592,-3.55030979655373,0.041457070623860996,1.536734693877551,0.650730411686587
-3.595730499116741,0.0405322601387271,-3.572510395001635,0.9902079613230446,-3.57240964464294,0.9901947439997767,-3.5963672292713467,0.04035571555197148,1.5387755102040817,0.649867374005305
-3.641187949724149,0.039261186685497454,-3.6672639125880684,0.9903202076452103,-3.6671630046498325,0.9903062008780075,-3.641327944853713,0.03906121356504258,1.5408163265306123,0.6490066225165563
-3.6852631972005856,0.03780516935900644,-3.7617666726784513,0.9904413930911852,-3.7616654810407417,0.9904265600976186,-3.6847910285919947,0.03758577600374793,1.542857142857143,0.6481481481481481
-3.7274903303065505,0.03617735753396224,-3.856020897761015,0.9905694616254705,-3.855919275011973,0.9905537808246814,-3.726283505024012,0.03594314535910685,1.5448979591836736,0.6472919418758256
-3.7673035399959964,0.03439260129098149,-3.9500284934440977,0.9907022450160861,-3.949926273900305,0.9906857176860409,-3.765230657696229,0.03414868396600042,1.5469387755102042,0.646437994722955
-3.803997237610857,0.03246762111139453,-4.043791038682123,0.9908375072850832,-4.043688044058543,0.9908201640452516,-3.8009155625018844,0.032219545147227996,1.5489795918367348,0.6455862977602107
-3.836670204554065,0.030421293681072235,-4.137309782866625,0.9909729899868379,-4.137205829791608,0.99095489522367,-3.8324226392405354,0.030174968154761745,1.5510204081632653,0.6447368421052632
-3.864146004715731,0.0282751197954054,-4.230585649805569,0.991106456962882,-4.2304805581743,0.9910877108995231,-3.858557673462046,0.028036763935436644,1.5530612244897959,0.6438896189224704
-3.884858486292301,0.026053982661781813,-4.323619248129182,0.9912357373305958,-4.323512849480263,0.9912164759920401,-3.8777337036887674,0.02583010063349248,1.5551020408163265,0.6430446194225722
-3.8966874652372923,0.023787373929667236,-4.4164108873860295,0.9913587658410999,-4.416303032923614,0.9913391593076785,-3.8878092629086938,0.02358476519738035,1.5571428571428572,0.6422018348623854
-3.896728828854886,0.0215113732811835,-4.50896059909511,0.9914736201268444,-4.508851167298979,0.9914538693285291,-3.8858665264323604,0.021337180206597403,1.5591836734693878,0.6413612565445026
-3.880997167975092,0.019271816962798304,-4.601268162278192,0.9915785544701248,-4.601157066067911,0.9915588864994398,-3.867934957448462,0.019133586849326242,1.5612244897959184,0.6405228758169934
-3.8441246097271,0.017129210459268986,-4.693333133134967,0.9916720297051976,-4.693220326330859,0.9916526914437187,-3.8287393232271945,0.01703487612594369,1.563265306122449,0.639686684073107
-3.779333494135324,0.015165670861629574,-4.785154878531843,0.9917527385979592,-4.785040361034378,0.9917339886091013,-3.7617726127202844,0.015123167626589279,1.5653061224489797,0.6388526727509778
-3.6794906667806058,0.01349231363513265,-4.876732612685894,0.9918196259309063,-4.876616433692339,0.9918017249111243,-3.6605010406399527,0.01350819163426206,1.5673469387755103,0.6380208333333333
-3.540786671822411,0.012249486140630204,-4.9680654360565395,0.9918719026154488,-4.967947694805135,0.9918551031132147,-3.5220893362262715,0.012325631657133724,1.569387755102041,0.6371911573472041
-3.3696392687982235,0.011582442594434491,-5.059152375186542,0.9919090535097774,-5.059033219145805,0.9918935897871899,-3.353794467872891,0.011711337546937725,1.5714285714285714,0.6363636363636364
-3.18714980878407,0.011581079045384907,-5.14999242221383,0.9919308390934808,-5.149872043065047,0.9919169178821187,-3.176299914922097,0.011744037123753088,1.573469387755102,0.6355382619974059
-3.020908770196076,0.012222034143289129,-5.240584573035994,0.9919372915170126,-5.240463201010869,0.9919250840666548,-3.015389903031871,0.012395164825775105,1.5755102040816327,0.6347150259067358
-2.8892976550275398,0.013379986809231898,-5.3309278634619295,0.9919287056874848,-5.330805760528877,0.991918341152056,-2.8878580749002896,0.013543239391336634,1.5775510204081633,0.6338939197930142
-2.7961453545636132,0.014895282113223614,-5.421021402981454,0.9919056259456092,-5.420898855095963,0.9918971860170399,-2.7971472451093597,0.01503639407603888,1.579591836734694,0.6330749354005167
-2.7365296702405946,0.016627417540936124,-5.510864405851276,0.9918688286961964,-5.510741714264709,0.9918623435023304,-2.738684985674274,0.016740715422747163,1.5816326530612246,0.632258064516129
-2.703212114293701,0.018470887490751358,-5.60045621907073,0.9918193012626157,-5.600333690675195,0.9918147468306686,-2.705699349038288,0.018554792313518285,1.5836734693877552,0.6314432989690721
-2.689669277629666,0.020350806737075997,-5.6897963466578005,0.9917582173165913,-5.689674283607463,0.9917555150891142,-2.692017443550915,0.020405953003906414,1.5857142857142859,0.6306306306306306
-2.6908330982849598,0.02221426776745052,-5.778884469577912,0.9916869095266108,-5.778763158818104,0.9916859283431175,-2.6927917542856683,0.022242402984704385,1.5877551020408165,0.6298200514138816
-2.7029686279316696,0.024023193232849144,-5.867720460870413,0.9916068403530531,-5.867600164474548,0.9916074009436463,-2.7044168812118214,0.024026583065826623,1.5897959183673471,0.6290115532734274
-2.7233619149733586,0.02574946653772725,-5.956304395875904,0.991519572073044,-5.956185343063789,0.9915214536056431,-2.7242528535321435,0.025730573570586057,1.5918367346938775,0.6282051282051282
-2.7500343726959757,0.027371814434136464,-6.044636557876178,0.99142673698825,-6.044518939217218,0.9914296848308108,-2.7503626413784303,0.027333117836977314,1.5938775510204082,0.6274007682458387
-2.7815269779502474,0.02887383783373809,-6.132717439681875,0.991330008492619,-6.132601403468996,0.9913337422602112,-2.781310027339579,0.028817726730710824,1.5959183673469388,0.6265984654731458
-2.816747361429891,0.030242757689207613,-6.220547741716262,0.9912310732972968,-6.220433392047126,0.9912352945411566,-2.8160145209026215,0.030171465507558688,1.5979591836734695,0.6257982120051085
-2.854863639717615,0.03146860115372045,-6.308128366920575,0.9911316049439799,-6.30801576289003,0.9911360042742161,-2.8536496481680373,0.03138416505010696,1.6,0.625
